Filename	 Size	Lastof_modification
CSPv21_NPP_2018.001.tif	 507.4 Mbytes	2020-11-25T23:52:00Z
CSPv21_NPP_2018.001.NT.tif	 82.6 Mbytes	2020-11-25T23:53:00Z
CSPv21_NPP_2018.001.QLD.tif	 110.3 Mbytes	2020-11-25T23:53:00Z
CSPv21_NPP_2018.001.SA.tif	 67.5 Mbytes	2020-11-25T23:53:00Z
CSPv21_NPP_2018.001.TAS.tif	 5.399 Mbytes	2020-11-25T23:54:00Z
CSPv21_NPP_2018.001.VIC.tif	 16.8 Mbytes	2020-11-25T23:54:00Z
CSPv21_NPP_2018.001.WA.tif	 166.2 Mbytes	2020-11-25T23:54:00Z
CSPv21_NPP_2018.001.NSW_ACT.tif	 56.09 Mbytes	2020-11-25T23:55:00Z
CSPv21_NPP_2018.017.tif	 507.2 Mbytes	2020-11-26T00:00:00Z
CSPv21_NPP_2018.017.NT.tif	 82.8 Mbytes	2020-11-26T00:01:00Z
CSPv21_NPP_2018.017.QLD.tif	 110.5 Mbytes	2020-11-26T00:01:00Z
CSPv21_NPP_2018.017.SA.tif	 68.1 Mbytes	2020-11-26T00:02:00Z
CSPv21_NPP_2018.017.TAS.tif	 5.399 Mbytes	2020-11-26T00:02:00Z
CSPv21_NPP_2018.017.VIC.tif	 16.9 Mbytes	2020-11-26T00:02:00Z
CSPv21_NPP_2018.017.WA.tif	 165.2 Mbytes	2020-11-26T00:03:00Z
CSPv21_NPP_2018.017.NSW_ACT.tif	 56.19 Mbytes	2020-11-26T00:03:00Z
CSPv21_NPP_2018.033.tif	 504.9 Mbytes	2020-11-26T00:08:00Z
CSPv21_NPP_2018.033.NT.tif	 82.5 Mbytes	2020-11-26T00:09:00Z
CSPv21_NPP_2018.033.QLD.tif	 110.1 Mbytes	2020-11-26T00:09:00Z
CSPv21_NPP_2018.033.SA.tif	 67.3 Mbytes	2020-11-26T00:10:00Z
CSPv21_NPP_2018.033.TAS.tif	 5.399 Mbytes	2020-11-26T00:10:00Z
CSPv21_NPP_2018.033.VIC.tif	 16.9 Mbytes	2020-11-26T00:10:00Z
CSPv21_NPP_2018.033.WA.tif	 164.5 Mbytes	2020-11-26T00:11:00Z
CSPv21_NPP_2018.033.NSW_ACT.tif	 55.9 Mbytes	2020-11-26T00:11:00Z
CSPv21_NPP_2018.049.tif	 503.5 Mbytes	2020-11-26T00:16:00Z
CSPv21_NPP_2018.049.NT.tif	 82.5 Mbytes	2020-11-26T00:17:00Z
CSPv21_NPP_2018.049.QLD.tif	 110.0 Mbytes	2020-11-26T00:17:00Z
CSPv21_NPP_2018.049.SA.tif	 67.2 Mbytes	2020-11-26T00:18:00Z
CSPv21_NPP_2018.049.TAS.tif	 5.399 Mbytes	2020-11-26T00:18:00Z
CSPv21_NPP_2018.049.VIC.tif	 16.8 Mbytes	2020-11-26T00:18:00Z
CSPv21_NPP_2018.049.WA.tif	 163.6 Mbytes	2020-11-26T00:19:00Z
CSPv21_NPP_2018.049.NSW_ACT.tif	 55.9 Mbytes	2020-11-26T00:19:00Z
CSPv21_NPP_2018.065.tif	 501.7 Mbytes	2020-11-26T00:24:00Z
CSPv21_NPP_2018.065.NT.tif	 82.3 Mbytes	2020-11-26T00:25:00Z
CSPv21_NPP_2018.065.QLD.tif	 109.1 Mbytes	2020-11-26T00:25:00Z
CSPv21_NPP_2018.065.SA.tif	 67.09 Mbytes	2020-11-26T00:25:00Z
CSPv21_NPP_2018.065.TAS.tif	 5.3 Mbytes	2020-11-26T00:25:00Z
CSPv21_NPP_2018.065.VIC.tif	 16.7 Mbytes	2020-11-26T00:25:00Z
CSPv21_NPP_2018.065.WA.tif	 163.2 Mbytes	2020-11-26T00:27:00Z
CSPv21_NPP_2018.065.NSW_ACT.tif	 56.0 Mbytes	2020-11-26T00:27:00Z
CSPv21_NPP_2018.081.tif	 501.2 Mbytes	2020-11-26T00:32:00Z
CSPv21_NPP_2018.081.NT.tif	 82.3 Mbytes	2020-11-26T00:32:00Z
CSPv21_NPP_2018.081.QLD.tif	 109.0 Mbytes	2020-11-26T00:33:00Z
CSPv21_NPP_2018.081.SA.tif	 66.89 Mbytes	2020-11-26T00:33:00Z
CSPv21_NPP_2018.081.TAS.tif	 5.3 Mbytes	2020-11-26T00:33:00Z
CSPv21_NPP_2018.081.VIC.tif	 16.59 Mbytes	2020-11-26T00:33:00Z
CSPv21_NPP_2018.081.WA.tif	 163.2 Mbytes	2020-11-26T00:34:00Z
CSPv21_NPP_2018.081.NSW_ACT.tif	 55.8 Mbytes	2020-11-26T00:35:00Z
CSPv21_NPP_2018.097.tif	 501.2 Mbytes	2020-11-26T00:40:00Z
CSPv21_NPP_2018.097.NT.tif	 82.39 Mbytes	2020-11-26T00:40:00Z
CSPv21_NPP_2018.097.QLD.tif	 109.1 Mbytes	2020-11-26T00:41:00Z
CSPv21_NPP_2018.097.SA.tif	 67.0 Mbytes	2020-11-26T00:41:00Z
CSPv21_NPP_2018.097.TAS.tif	 5.3 Mbytes	2020-11-26T00:42:00Z
CSPv21_NPP_2018.097.VIC.tif	 16.5 Mbytes	2020-11-26T00:42:00Z
CSPv21_NPP_2018.097.WA.tif	 163.0 Mbytes	2020-11-26T00:43:00Z
CSPv21_NPP_2018.097.NSW_ACT.tif	 55.8 Mbytes	2020-11-26T00:43:00Z
CSPv21_NPP_2018.113.tif	 500.7 Mbytes	2020-11-26T00:48:00Z
CSPv21_NPP_2018.113.NT.tif	 82.6 Mbytes	2020-11-26T00:49:00Z
CSPv21_NPP_2018.113.QLD.tif	 109.3 Mbytes	2020-11-26T00:50:00Z
CSPv21_NPP_2018.113.SA.tif	 66.5 Mbytes	2020-11-26T00:50:00Z
CSPv21_NPP_2018.113.TAS.tif	 5.3 Mbytes	2020-11-26T00:51:00Z
CSPv21_NPP_2018.113.VIC.tif	 16.5 Mbytes	2020-11-26T00:51:00Z
CSPv21_NPP_2018.113.WA.tif	 163.0 Mbytes	2020-11-26T00:52:00Z
CSPv21_NPP_2018.113.NSW_ACT.tif	 55.5 Mbytes	2020-11-26T00:52:00Z
CSPv21_NPP_2018.129.tif	 501.0 Mbytes	2020-11-26T00:58:00Z
CSPv21_NPP_2018.129.NT.tif	 82.89 Mbytes	2020-11-26T00:59:00Z
CSPv21_NPP_2018.129.QLD.tif	 109.5 Mbytes	2020-11-26T01:00:00Z
CSPv21_NPP_2018.129.SA.tif	 66.3 Mbytes	2020-11-26T01:01:00Z
CSPv21_NPP_2018.129.TAS.tif	 5.3 Mbytes	2020-11-26T01:01:00Z
CSPv21_NPP_2018.129.VIC.tif	 16.39 Mbytes	2020-11-26T01:01:00Z
CSPv21_NPP_2018.129.WA.tif	 163.2 Mbytes	2020-11-26T01:02:00Z
CSPv21_NPP_2018.129.NSW_ACT.tif	 55.4 Mbytes	2020-11-26T01:03:00Z
CSPv21_NPP_2018.145.tif	 499.7 Mbytes	2020-11-26T01:09:00Z
CSPv21_NPP_2018.145.NT.tif	 83.1 Mbytes	2020-11-26T01:10:00Z
CSPv21_NPP_2018.145.QLD.tif	 109.6 Mbytes	2020-11-26T01:11:00Z
CSPv21_NPP_2018.145.SA.tif	 65.8 Mbytes	2020-11-26T01:11:00Z
CSPv21_NPP_2018.145.TAS.tif	 5.3 Mbytes	2020-11-26T01:11:00Z
CSPv21_NPP_2018.145.VIC.tif	 16.3 Mbytes	2020-11-26T01:11:00Z
CSPv21_NPP_2018.145.WA.tif	 162.7 Mbytes	2020-11-26T01:13:00Z
CSPv21_NPP_2018.145.NSW_ACT.tif	 55.0 Mbytes	2020-11-26T01:13:00Z
CSPv21_NPP_2018.161.tif	 499.5 Mbytes	2020-11-26T01:17:00Z
CSPv21_NPP_2018.161.NT.tif	 83.2 Mbytes	2020-11-26T01:18:00Z
CSPv21_NPP_2018.161.QLD.tif	 109.6 Mbytes	2020-11-26T01:19:00Z
CSPv21_NPP_2018.161.SA.tif	 65.89 Mbytes	2020-11-26T01:19:00Z
CSPv21_NPP_2018.161.TAS.tif	 5.3 Mbytes	2020-11-26T01:19:00Z
CSPv21_NPP_2018.161.VIC.tif	 16.2 Mbytes	2020-11-26T01:19:00Z
CSPv21_NPP_2018.161.WA.tif	 162.4 Mbytes	2020-11-26T01:21:00Z
CSPv21_NPP_2018.161.NSW_ACT.tif	 54.59 Mbytes	2020-11-26T01:21:00Z
CSPv21_NPP_2018.177.tif	 500.0 Mbytes	2020-11-26T01:26:00Z
CSPv21_NPP_2018.177.NT.tif	 83.39 Mbytes	2020-11-26T01:26:00Z
CSPv21_NPP_2018.177.QLD.tif	 109.8 Mbytes	2020-11-26T01:27:00Z
CSPv21_NPP_2018.177.SA.tif	 66.0 Mbytes	2020-11-26T01:28:00Z
CSPv21_NPP_2018.177.TAS.tif	 5.3 Mbytes	2020-11-26T01:28:00Z
CSPv21_NPP_2018.177.VIC.tif	 16.2 Mbytes	2020-11-26T01:28:00Z
CSPv21_NPP_2018.177.WA.tif	 162.6 Mbytes	2020-11-26T01:29:00Z
CSPv21_NPP_2018.177.NSW_ACT.tif	 54.59 Mbytes	2020-11-26T01:29:00Z
CSPv21_NPP_2018.193.tif	 502.5 Mbytes	2020-11-26T01:36:00Z
CSPv21_NPP_2018.193.NT.tif	 83.6 Mbytes	2020-11-26T01:37:00Z
CSPv21_NPP_2018.193.QLD.tif	 110.6 Mbytes	2020-11-26T01:38:00Z
CSPv21_NPP_2018.193.SA.tif	 66.59 Mbytes	2020-11-26T01:39:00Z
CSPv21_NPP_2018.193.TAS.tif	 5.3 Mbytes	2020-11-26T01:39:00Z
CSPv21_NPP_2018.193.VIC.tif	 16.2 Mbytes	2020-11-26T01:39:00Z
CSPv21_NPP_2018.193.WA.tif	 162.7 Mbytes	2020-11-26T01:40:00Z
CSPv21_NPP_2018.193.NSW_ACT.tif	 55.3 Mbytes	2020-11-26T01:41:00Z
CSPv21_NPP_2018.209.tif	 504.2 Mbytes	2020-11-26T02:23:00Z
CSPv21_NPP_2018.209.NT.tif	 83.8 Mbytes	2020-11-26T02:24:00Z
CSPv21_NPP_2018.209.QLD.tif	 111.1 Mbytes	2020-11-26T02:25:00Z
CSPv21_NPP_2018.209.SA.tif	 66.7 Mbytes	2020-11-26T02:25:00Z
CSPv21_NPP_2018.209.TAS.tif	 5.3 Mbytes	2020-11-26T02:25:00Z
CSPv21_NPP_2018.209.VIC.tif	 16.3 Mbytes	2020-11-26T02:25:00Z
CSPv21_NPP_2018.209.WA.tif	 163.1 Mbytes	2020-11-26T02:26:00Z
CSPv21_NPP_2018.209.NSW_ACT.tif	 55.8 Mbytes	2020-11-26T02:26:00Z
CSPv21_NPP_2018.225.tif	 505.5 Mbytes	2020-11-26T02:31:00Z
CSPv21_NPP_2018.225.NT.tif	 84.2 Mbytes	2020-11-26T02:31:00Z
CSPv21_NPP_2018.225.QLD.tif	 111.3 Mbytes	2020-11-26T02:32:00Z
CSPv21_NPP_2018.225.SA.tif	 66.8 Mbytes	2020-11-26T02:32:00Z
CSPv21_NPP_2018.225.TAS.tif	 5.3 Mbytes	2020-11-26T02:32:00Z
CSPv21_NPP_2018.225.VIC.tif	 16.39 Mbytes	2020-11-26T02:32:00Z
CSPv21_NPP_2018.225.WA.tif	 163.4 Mbytes	2020-11-26T02:33:00Z
CSPv21_NPP_2018.225.NSW_ACT.tif	 56.0 Mbytes	2020-11-26T02:33:00Z
CSPv21_NPP_2018.241.tif	 507.2 Mbytes	2020-11-26T02:39:00Z
CSPv21_NPP_2018.241.NT.tif	 84.8 Mbytes	2020-11-26T02:39:00Z
CSPv21_NPP_2018.241.QLD.tif	 111.6 Mbytes	2020-11-26T02:40:00Z
CSPv21_NPP_2018.241.SA.tif	 66.8 Mbytes	2020-11-26T02:40:00Z
CSPv21_NPP_2018.241.TAS.tif	 5.3 Mbytes	2020-11-26T02:40:00Z
CSPv21_NPP_2018.241.VIC.tif	 16.39 Mbytes	2020-11-26T02:40:00Z
CSPv21_NPP_2018.241.WA.tif	 164.1 Mbytes	2020-11-26T02:41:00Z
