CLONE,YEAR,STAGE,LOC,CROP,REP,T_SPACRE,TRS_TON,TCA,POPN,MSTWT,FIBER,,,
HOCP96-540,2020,3,AFL,0,1,927.86,266.78,3.48,12.99,2.56,,,,
HO13-739,2020,5,ALLAINS,0,1,7161.84,308.92,23.18,.,2.69,4.106266381,,,
HO12-615,2021,5,MAGNOLIA,2,3,1366.01,261.59,5.22,.,0.9,4.710963455,,,
HOCP96-540,2021,3,AFL,1,1,2202.25,255.58,8.62,11.14,3.17,4.771510516,,,
HO13-739,2021,5,MAGNOLIA,2,3,2850.17,278.27,10.24,.,1.09,4.938748686,,,
HO16-600,2020,4,AFH,1,2,9974.86,268.32,37.18,10.81,3.66,4.962328767,,,
L12-201,2020,5,MAGNOLIA,1,3,7207.18,294.88,24.44,.,2.62,5.037537132,,,
HO17-776,2021,4,CAF,1,1,9563.54,298.21,32.07,10.79,2.81,5.089022758,,,
L15-306,2020,5,MAGNOLIA,0,1,9036.25,278.57,32.44,.,2.8,5.22154609,,,
HOL15-508,2020,5,GLENWOOD,0,1,8349.89,280.64,29.75,.,2.34,5.291215654,,,
L01-299,2020,4,CAF,0,1,9276.02,272.86,34,11.71,2.27,5.3118127,,,
HO13-739,2021,5,LANDRY,2,2,7369.01,330.43,22.3,.,1.08,5.31894886,,,
HOCP96-540,2020,5,MAGNOLIA,2,2,3200.84,259.75,12.32,.,1.42,5.31900522,,,
HO13-739,2021,5,LANAUX,1,2,7004.34,320.4,21.86,.,2.03,5.333415903,,,
HOL15-508,2020,5,STJOHN,0,1,7406.48,254.11,29.15,.,2.7,5.34728759,,,
HOCP04-838,2020,5,LANAUX,1,2,7591.05,295.72,25.67,.,1.45,5.376424123,,,
HOCP96-540,2020,5,STJOHN,1,3,8718.81,262.53,33.21,.,3.02,5.405511811,,,
HO12-615,2020,5,MAGNOLIA,2,1,2947.22,244.06,12.08,.,1.55,5.419972164,,,
HOCP04-838,2021,3,MEL,2,2,4590.45,276.64,16.59,13.67,1.73,5.435556812,,,
HOCP14-885,2021,5,LANAUX,3,2,4787.21,298.13,16.06,.,1.58,5.463690156,,,
HOCP96-540,2020,5,ALLAINS,0,2,8700.91,275.36,31.6,.,2.84,5.556193806,,,
HO16-600,2020,5,BRUNSWICK,0,1,7722.42,329.67,23.43,.,3.04,5.572050817,,,
L19-013,2020,3,AFL,0,1,5252.69,218.16,24.08,10.64,4.25,5.585425899,,,
HO13-739,2021,5,BRUNSWICK,3,3,3628.92,195.01,18.61,.,1.57,5.601748996,,,
L11-183,2021,5,RHEBERT,3,3,6172.38,234.06,26.37,.,2.42,5.602313625,,,
HOCP96-540,2021,5,DOMINGUE,1,3,5958.1,266.29,22.38,.,2.34,5.63365753,,,
L12-201,2021,5,MAGNOLIA,2,1,1957.35,217.3,9.01,.,1.24,5.634458673,,,
HOCP14-885,2021,5,STJOHN,1,3,11244.68,288.85,38.93,.,2.17,5.649487786,,,
HO13-739,2020,5,HARPER,3,1,4514.54,234.49,19.25,.,2.34,5.649828179,,,
HOCP14-885,2020,5,MAGNOLIA,0,2,10834.03,279.08,38.82,.,3.29,5.650143678,,,
L11-183,2020,5,RHEBERT,0,1,10676.19,274.45,38.9,.,3.57,5.666146646,,,
L12-201,2021,5,BRUNSWICK,2,1,3186.69,203.27,15.68,.,1.74,5.666561812,,,
L20-065,2021,3,NIB,0,2,6155.13,311.57,19.76,12.08,2.03,5.698245614,,,
L12-201,2020,5,LANAUX,2,3,7370.23,294.91,24.99,.,3.06,5.698462614,,,
L11-183,2021,5,ALMA,1,2,3317.78,256.15,12.95,.,1.64,5.729749364,,,
L15-306,2021,5,HARPER,0,3,6132.29,277.77,22.08,.,2.29,5.730300327,,,
L19-006,2021,3,NIB,1,2,2248.57,254.42,8.84,12.72,1.86,5.740037951,,,
HOCP14-885,2021,5,ALLAINS,3,1,5292.71,297.82,17.77,.,1.62,5.746397695,,,
HOCP04-838,2020,3,AFH,2,1,.,288.7,.,.,,5.763918919,,,
L01-283,2020,4,BLK,3,1,10239.82,285.47,35.87,14.5,1.52,5.813724282,,,
L15-306,2021,5,STJOHN,2,3,7571.2,237.88,31.83,.,1.65,5.813837805,,,
HOL15-508,2021,5,ALLAINS,0,2,8870.37,305.62,29.02,.,2.27,5.814191494,,,
HOCP96-540,2021,5,ALMA,2,1,4404.25,210.03,20.97,.,1.89,5.814678899,,,
L12-201,2021,5,LANAUX,2,2,4265.58,288.77,14.77,.,1.55,5.831701346,,,
L12-201,2020,5,LANAUX,1,2,8507.15,273.45,31.11,.,3.12,5.881676011,,,
HO13-739,2020,5,ALMA,0,3,5536.91,210.62,26.29,.,2.63,5.882439599,,,
HO12-615,2021,5,BRUNSWICK,3,3,2793.91,215.18,12.98,.,1.25,5.89960182,,,
L01-283,2020,5,BRUNSWICK,3,1,3955.71,197.57,20.02,.,1.05,5.900154799,,,
HO11-573,2021,5,LANAUX,3,1,2438.67,293.98,8.3,.,1.23,5.917071019,,,
HO12-615,2020,5,LANAUX,2,1,9171.57,305.11,30.06,.,1.92,5.917406917,,,
L12-201,2021,5,RHEBERT,1,1,10049.36,322.85,31.13,.,2.68,5.934321492,,,
HO13-739,2020,5,MARY,0,2,12174.94,313.16,38.88,.,2.99,5.934718101,,,
L15-306,2021,5,ALMA,1,2,4204.81,257.49,16.33,.,1.54,5.935050392,,,
HOCP96-540,2021,3,MEL,2,1,4987.34,246.42,20.24,11.54,1.77,5.951587715,,,
L15-306,2020,5,LANAUX,1,3,8216.25,309.04,26.59,.,2.18,5.952404198,,,
L14-267,2020,5,ALLAINS,0,1,8665.09,311.75,27.8,.,2.44,5.95296577,,,
L12-201,2020,5,DOMINGUE,1,1,8912.46,276.69,32.21,.,3,5.987172337,,,
HOCP19-921,2020,3,STG,0,2,9633.63,283.84,33.94,.,3.4,5.997296485,,,
HOCP19-919,2020,3,AFL,0,2,15582.49,241.2,64.6,.,3.39,6.006145604,,,
L14-267,2020,5,GLENWOOD,0,3,12324.38,301.82,40.83,.,2.88,6.006567797,,,
L11-183,2021,5,RHEBERT,1,3,7776.46,297.68,26.12,.,2.55,6.023228462,,,
L15-306,2021,5,HARPER,0,1,6218.98,280.98,22.13,.,2.99,6.023673469,,,
HO05-961,2021,5,LANAUX,1,1,6965.25,326.11,21.36,.,1.76,6.023850932,,,
