DoY,Year,Crop,Treatment,Site,Grain_yield_kg_ha,FIeld,Sol_Rad_MJ_m2_d,T_max_C,PCPN_mm_d,RH_f,Wind_spd_m_s
232,2019,SpringWheat,BAU,H501,3970.0,H5,24.11159869,25.34,0.0,0.673461033,2.4978125
232,2019,SpringWheat,BAU,H502,3063.2,H5,24.11159869,25.34,0.0,0.673461033,2.4978125
232,2019,SpringWheat,BAU,H503,3678.0,H5,24.11159869,25.34,0.0,0.673461033,2.4978125
232,2019,SpringWheat,BAU,H504,3153.2,H5,24.11159869,25.34,0.0,0.673461033,2.4978125
232,2019,SpringWheat,BAU,H505,2942.0,H5,24.11159869,25.34,0.0,0.673461033,2.4978125
232,2019,SpringWheat,BAU,H506,3169.6,H5,24.11159869,25.34,0.0,0.673461033,2.4978125
232,2019,SpringWheat,BAU,H507,5168.0,H5,24.11159869,25.34,0.0,0.673461033,2.4978125
232,2019,SpringWheat,BAU,H508,4394.4,H5,24.11159869,25.34,0.0,0.673461033,2.4978125
232,2019,SpringWheat,BAU,H509,2886.8,H5,24.11159869,25.34,0.0,0.673461033,2.4978125
232,2019,SpringWheat,BAU,H510,2297.2,H5,24.11159869,25.34,0.0,0.673461033,2.4978125
233,2019,SpringWheat,ASP,I201,3376.0,I2,24.04393182,25.63,0.0,0.587750983,1.598791667
233,2019,SpringWheat,ASP,I202,2660.0,I2,24.04393182,25.63,0.0,0.587750983,1.598791667
233,2019,SpringWheat,ASP,I203,3429.6,I2,24.04393182,25.63,0.0,0.587750983,1.598791667
233,2019,SpringWheat,ASP,I204,3151.6,I2,24.04393182,25.63,0.0,0.587750983,1.598791667
233,2019,SpringWheat,ASP,I205,2528.8,I2,24.04393182,25.63,0.0,0.587750983,1.598791667
233,2019,SpringWheat,ASP,I206,3285.2,I2,24.04393182,25.63,0.0,0.587750983,1.598791667
233,2019,SpringWheat,ASP,I207,2320.8,I2,24.04393182,25.63,0.0,0.587750983,1.598791667
233,2019,SpringWheat,ASP,I208,3232.0,I2,24.04393182,25.63,0.0,0.587750983,1.598791667
233,2019,SpringWheat,ASP,I209,2097.2,I2,24.04393182,25.63,0.0,0.587750983,1.598791667
233,2019,SpringWheat,ASP,I210,2242.8,I2,24.04393182,25.63,0.0,0.587750983,1.598791667
275,2020,Corn,BAU,H501,5390.566337,H5,10.97511835,11.24,0.0,0.67366175,2.54175
275,2020,Corn,BAU,H501,5682.053031,H5,10.97511835,11.24,0.0,0.67366175,2.54175
275,2020,Corn,BAU,H501,4379.835149,H5,10.97511835,11.24,0.0,0.67366175,2.54175
